"region","reg","regov","nofedgov","edu","norepgov","elect","repower","sharia","biz","equota","privrep","privfed","tension","disrep","age","income","male","urban","nocitizen","means","native","fedrite","fedimpact","fedcorr","muslim","ritual","quran","relstate","imptnce","reledu","sharia2","incomesq","Total.victims","Unemployment","av.salary"
1,"n ossetia",1.924050633,2,8,3,2,3,1.202531646,4.215189873,1,2,3,2.025316456,4,2,3,0,1,3,0,0,3,2,1,0,2,4,9,3,2,1,9,77,3.1,9342.6
1,"n ossetia",4,1,5,3,1,1,1,3,0,4,4,3,4,2,5,1,0,1,0,0,1,1,1,0,3,4,2,3.427480916,1,1,25,77,3.1,9342.6
1,"n ossetia",3,3,6,3,3,2.695906433,2,5,0,3,3,2,3,5,4,0,1,1,0,1,2,2,2,0,2,3,1,3,1,2,16,77,3.1,9342.6
1,"n ossetia",1,2,6,2.301587302,4,1,1,4,1,2,3,1,3,3,4,1,1,1,0,1,4,3,5,0,2.857142857,3,4,2,2.835978836,1,16,77,3.1,9342.6
1,"n ossetia",1.699029126,2,6,2.13592233,1.359223301,2,1,4,1,4,3,3,4,3,1,0,1,1,0,1,3.621359223,4,5,0,9,3.40776699,9,3.708737864,4.893203883,1,1,77,3.1,9342.6
1,"n ossetia",3.119170984,3,6,3,4,1,1,3,0.865284974,2,2,3,3,4,3,0,1,2,0,0,2,1,2,0,2,3,3,3,5,1,9,77,3.1,9342.6
1,"n ossetia",2.068627451,2.333333333,4,4,2.411764706,1.274509804,1.460784314,3.823529412,0,4,4,2,3,4,1,1,0,1,0,1,3.862745098,2.264705882,3.852941176,0,4,4,9,2.68627451,4.794117647,1,1,77,3.1,9342.6
1,"n ossetia",2.490566038,4,5,2.698113208,4,3,1.905660377,4,1,1.273584906,1,3,3,1,1,0,0,1,0,1,3,2,3.198113208,0,3,5,9,3.113207547,3.471698113,2,1,77,3.1,9342.6
1,"n ossetia",1,2,5,2,2.191616766,4,1.574850299,4,0.790419162,3,4,3,3,4,3,0,0,1,0,1,3,2,3,0,3,5,3,2,1,2,9,77,3.1,9342.6
1,"n ossetia",4,4,6,3,4,1,1.188976378,4,1,2,2.834645669,1.811023622,3.559055118,3,3,1,0,1,0,1,4,1,5,0,3,4.062992126,4,3.05511811,2.929133858,1,9,77,3.1,9342.6
1,"n ossetia",2.830769231,2,3,3,2,2,1,4,1,3,3,2,2,1,5,0,0,2,0.230769231,1,4,2,4,0,3,4,1,2,5,1,25,77,3.1,9342.6
1,"n ossetia",2.602836879,2,6,2,2,4,1.390070922,3,0.418439716,3,3,2,3,2,4,0,0,1,1,1,2,3,2,0,4,3,2,2.808510638,5,1,16,77,3.1,9342.6
1,"n ossetia",4,1,1,3,3,1,1.422222222,3,0.622222222,2,3,2,4,2,3,0,0,1,0,1,4,1,3.807407407,0,4,5,2,2,3.807407407,1,9,77,3.1,9342.6
